PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40085126,Stable and discriminating OCT-derived radiomics features for predicting anti-VEGF treatment response in diabetic macular edema.,2025-03-14,Sunil K Srivastava,novartis pharmaceuticals,
40085012,Moderators of digital cognitive-behavioral therapy for youth with sickle cell disease pain: secondary analysis of a randomized controlled trial.,2025-03-13,William T Zempsky,university of co,
40084940,"Pterostilbene Exhibited the Anticancer Effect Against 1, 2-Dimethylhydrazine (DMH)-Induced Colorectal Cancer via Alteration of Oxidative Stress, Inflammation and Gut Microbiota.",2025-03-01,Ankit Kumar,venkateshwara co,
40084770,A Case Report of Intraoperative Brachial and Cerebral Embolization During Pneumonectomy for Lung Cancer.,2025-03-01,Ishan Handa; Samira Alwahabi; Aidan Snell; Charles H Hennekens; George R Luck,schmidt co,
40084746,Blocking ITGA5 potentiates the efficacy of anti-PD-1 therapy on glioblastoma by remodeling tumor-associated macrophages.,2025-03-14,Rongrong Zhao; Ziwen Pan; Jiawei Qiu; Boyan Li; Yanhua Qi; Zijie Gao; Wei Qiu; Weijie Tang; Lin Deng; Gang Li; Hao Xue,cheeloo co,
40084687,AGTR1 potentiates the chemotherapeutic efficacy of cisplatin in esophageal carcinoma through elevation of intracellular Ca,2025-04-01,Kang Liu; Jun Bie; Ruolan Zhang; Rong Xiong; Lihong Peng; Yi Luo; Siyun Yang; Gang Feng; Guiqin Song,the second clinical medical co,
40084656,The value of real-world evidence in supporting targeted therapies for patients with rare oncogenic drivers in mNSCLC.,2025-03-14,Misako Nagasaka; Devin Abrahami,chao family co; pfizer inc,
40084524,Clinical combined PET/CT radiomics model prediction of benefit from platinum-based chemotherapy and chemoradiotherapy in patients with small cell lung cancer.,2025-03-14,Yanmei Wang,beijing general electric co,
40084517,Immunotherapy in Cervical Cancer: An Evolutionary Paradigm in Women's Reproductive Health.,2025-01-01,Mansi Damani; Akshada Mhaske; Sayali Dighe; Sujata P Sawarkar,bhanuben nanavati co,
40084510,Predictive and Prognostic Significance of Patient-Reported Outcomes for Survival and Adverse Events in Daratumumab-Treated Multiple Myeloma.,2025-03-14,Ethan Basch,lineberger co,
40084405,Systemic Therapy for Advanced Gastrointestinal Stromal Tumors in 2025: Current Standard of Care and Emerging Therapeutic Strategies.,2025-03-14,Evelyn Yi Ting Wong,data and computational science co,
40084363,Dissecting the high-risk property of 1q gain/amplification in patients with newly diagnosed multiple myeloma.,2025-01-01,Wenyang Huang; Shaji K Kumar,medicine roche; chinese academy of medical science and peking union medical co,
40084273,Discovery and preclinical development of a SdAb-based CAR-T technology for targeting CD33 in AML.,2025-03-20,Lucía Vanrell,"Nanogrow Biotech, Montevideo 11500, Uruguay.",
40084249,Preoperative integrated oxidative stress score as a prognostic factor for predicting clinical outcomes in breast cancer patients received neoadjuvant chemotherapy: a real-world retrospective study.,2025-01-01,Li Chen; Shu Peng; Hao Dong; Xiangyu Wang; Jing Wang,tongji medical co; chinese academy of medical sciences and peking union medical co,
40084235,Selecting patients with sickle cell disease for gene addition or gene editing-based therapeutic approaches: Report on behalf of a joint EHA Specialized Working Group and EBMT Hemoglobinopathies Working Party consensus conference.,2025-03-01,Christian Chabannon; Josu de la Fuente,imperial co; department of paediatrics imperial co; institut paoli-calmettes co,
40084168,Functional connectivity between tumor region and resting-state networks as imaging biomarker for overall survival in recurrent gliomas diagnosed by ,2025-01-01,Jan-Michael Werner; Michael Sabel; Ulrich Herrlinger; Maximilian I Ruge; Roland Goldbrunner; Martin Kocher; Norbert Galldiks,center of integrated oncology aachen bonn co; faculty of medicine and university hospital co,
40084161,Independent Review Organization and Proton Therapy: Multistate Analysis and Legal Procedural Strategies.,2025-03-01,Christopher G Morris; Nancy P Mendenhall; Montreal Turner; Matthew Palmer; Mark E Artz,"Legion Healthcare Partners, LLC, Houston, Texas, USA.; university of florida co",
40084117,[,2025-01-01,Mei-Hua Chuang,mackay junior co,
40084069,Computational Cellular Mathematical Model Aids Understanding the cGAS-STING in NSCLC Pathogenicity.,2025-03-05,Shweta Khandibharad; Pooja Gulhane; Shailza Singh,biotechnology research and innovation co,
40083981,Ulcerative colitis-associated colorectal neoplasm is increasing as a surgical indication in the biologics era: a retrospective observational study of 20 years of experience in a single tertiary center.,2025-03-01,Hyo Jun Kim; Seung-Bum Ryoo; Jin Sun Choi; Han-Ki Lim; Min Jung Kim; Ji Won Park; Seung-Yong Jeong; Kyu Joo Park,seoul national university co,
40083938,7-nm Mn,2025-01-01,Joo Young Lee; Yi Rang Na; Chul Min Na; Pyung Won Im; Hyung Woo Park; Min Kyu Kim; Yona Kim; Ji Hyeon You; Dong Su Kang; Hyo Eun Moon; Sung Hye Park; Hye Won Youn; Yasushi Takemura; Yuanzhe Piao; Sun Ha Paek,immunology co; department of electrical and co; seoul national university co; advanced institutes of co,
